#,Menu_Item,SKU,Location,Category,Ingredients,Description,Price,Image,Order Online
1,Grilled Chicken Bánh M,BM02,Orillia,BANH MI,,"Juicy grilled chicken on a fresh baguette with house butter spread, crunchy cabbage, Vietnamese daikon and carrot pickles, lettuce, cucumber, pâté, cilantro, and mayo. A perfect blend of flavors in every bit",$12.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/7/item-1300000000044371577_1729591539.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-bnh-m_b185df68-efd6-4e2c-9191-e42ae82f8d6e
2,Grilled Beef Bánh M,BM01,Orillia,BANH MI,,"Tender grilled beef on a fresh baguette with house butter spread, crunchy cabbage, Vietnamese daikon and carrot pickles, lettuce, cucumber, pâté, cilantro, and may",$12.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/5/item-1300000000044371575_1729591443.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-bnh-m_6785117e-4b1c-4854-8bbc-227fb89bdb37
3,Grilled Pork Bánh M,BM03,Orillia,BANH MI,,"Succulent Grilled Pork on a fresh baguette with house butter spread, crunchy cabbage, Vietnamese daikon and carrot pickles, lettuce, cucumber, pâté, cilantro, and mayo. A perfect blend of flavors in every bit",$12.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/9/item-1300000000044371579_1729591664.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-bnh-m_3825d4db-65ef-4a8c-a43d-51022482955e
4,Grilled Shrimp in Bao Bun,BB04,Orillia,BAO BUN,,"Grilled shrimp, crisp lettuce, crunchy cabbage, and tangy Vietnamese daikon carrot pickles, all layered with creamy house butter and mayo, tucked into a perfectly fried bao bun—crispy on the outside, soft and fluffy insid",$14.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/2/item-1300000000044368522_1729592332.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-shrimp-in-bao-bun_5b1dfca2-e075-4961-9375-321ef09b6199
5,Grilled Beef in Bao Bun,BB02,Orillia,BAO BUN,,"Marinated grilled beef, crisp lettuce, crunchy cabbage, and tangy Vietnamese daikon carrot pickles, all layered with creamy house butter and mayo, tucked into a perfectly fried bao bun—crispy on the outside, soft and fluffy insid",$13.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044368518_1729592226.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-beef-in-bao-bun_4cb806f3-fc3d-44b2-ad8a-8fc28c23915c
6,Grilled Pork in Bao Bun,BB03,Orillia,BAO BUN,,"Grilled pork, crisp lettuce, crunchy cabbage, and tangy Vietnamese daikon carrot pickles, all layered with creamy house butter and mayo, tucked into a perfectly fried bao bun—crispy on the outside, soft and fluffy insid",$13.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044368520_1729592282.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-pork-in-bao-bun_52b90df2-c289-4368-9fee-6e5873313e46
7,Grilled Chicken in Bao Bun,BB01,Orillia,BAO BUN,,"Juicy grilled chicken, crisp lettuce, crunchy cabbage, and tangy Vietnamese daikon carrot pickles, all layered with creamy house butter and mayo, tucked into a perfectly fried bao bun—crispy on the outside, soft and fluffy insid",$13.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044368516_1729592169.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-grilled-chicken-in-bao-bun_6b66b483-69a8-409e-ad20-bc89fb268f6f
8,Well-Done Beef Pho,P03,Orillia,BEEF BROTH NOODLE - PHO,Rare beef/ Well-done beef/ Signature broth/ Savory spices/ Aromas/ Fresh rice noodles,"Tender rice noodles topped with well-done beef in a rich, aromatic beef broth. Served with hoisin, hot sauce, fresh herbs, bean sprouts, and lime for the ultimate comforting bowl.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/6/item-1300000000044373506_1729591229.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-welldone-beef-pho_bf1f7dd6-a797-42fc-ba46-f9b8b5760d53
9,Rare Beef Pho,P02,Orillia,BEEF BROTH NOODLE - PHO,,"Tender rice noodles topped with rare beef in a rich, aromatic beef broth. Served with hoisin, hot sauce, fresh herbs, bean sprouts, and lime for the ultimate comforting bowl.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/4/item-1300000000044373504_1729591211.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-rare-beef-pho_85e7a894-d0f5-43ae-88dd-f754b3c0914b
10,Flintstone Pho,,Orillia,BEEF BROTH NOODLE - PHO,,"A massive beef rib and tender well-done beef served over rice noodles in a rich, flavorful broth. Topped with fresh herbs, bean sprouts, lime, and served with hoisin and hot sauce. A hearty, satisfying meal for big appetites!",$25.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/8/item-1300000000044373508_1729591251.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-flintstone-pho_bcfba6bf-8c89-495a-88d9-aa4063468577
11,Special HOT STONE bowl Noodle,,Orillia,BEEF BROTH NOODLE - PHO,,"Stone Bowl Pho with Beef Ribs: Hearty beef noodle soup served in a hot stone bowl with tender, flavorful beef ribs and fresh herbs in a rich, steaming broth",$39.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044373520_1729591381.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-special-hot-stone-bowl-noodle_c316dd7d-dd10-45a4-9a87-585fe3dedc10
12,Veggie Garden Pho,P02,Orillia,BEEF BROTH NOODLE - PHO,,"Low-simmered beef broth poured over tender rice noodles and fresh seasonal veggies. Served with hoisin, hot sauce, herbs, bean sprouts, and lime.",$19.00 ,https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-239219000000000000/menu/items/0/item-1300000000044373510_1729591273.jpg?size=medium,https://order.toasttab.com/online/toronto-pho-orillia/item-veggie-garden-pho_70bf758b-218c-4601-b917-3e101aaf2325
